Tipo,Componente,Archivo,Línea,Criticidad,Descripción,Impacto,Solución
ViewSet,AppointmentViewSet,appointments_api/views.py,15,ALTA,Solo IsAuthenticated - 8 acciones sin protección,Cajera puede cancelar/completar citas,Agregar TenantPermissionByAction + permission_map
ViewSet,ClientViewSet,clients_api/views.py,10,MEDIA,Solo IsAuthenticated - CRUD sin validación,Todos pueden modificar clientes,Agregar TenantPermissionByAction + permission_map
ViewSet,ServiceViewSet,services_api/views.py,12,CRÍTICA,Solo IsAuthenticated - set_employee_price expuesto,Cajera puede cambiar precios,Agregar TenantPermissionByAction + permission_map
ViewSet,ServiceCategoryViewSet,services_api/views.py,80,BAJA,Solo IsAuthenticated - CRUD sin validación,Todos pueden modificar categorías,Agregar TenantPermissionByAction + permission_map
ViewSet,ProductViewSet,inventory_api/views.py,15,CRÍTICA,Solo IsAuthenticated - adjust_stock sin control,Cajera puede ajustar inventario,Agregar TenantPermissionByAction + permission_map
ViewSet,AuditLogViewSet,audit_api/views.py,10,MEDIA,Solo IsAuthenticated - logs accesibles a todos,Exposición de auditoría,Agregar TenantPermissionByAction + permission_map
ViewSet,InvoiceViewSet,billing_api/views.py,15,ALTA,Solo IsAuthenticated - mark_as_paid sin validación,Cajera puede marcar facturas pagadas,Agregar TenantPermissionByAction + permission_map
ViewSet,PaymentAttemptViewSet,billing_api/views.py,120,MEDIA,Solo IsAuthenticated - intentos de pago visibles,Exposición de datos de pago,Agregar TenantPermissionByAction + permission_map
ViewSet,NotificationListCreateView,notifications_api/views.py,8,BAJA,Solo IsAuthenticated - notificaciones sin filtro,Todos pueden crear notificaciones,Agregar TenantPermissionByAction + permission_map
ViewSet,NotificationDetailView,notifications_api/views.py,20,BAJA,Solo IsAuthenticated - modificación sin validación,Todos pueden modificar notificaciones,Agregar TenantPermissionByAction + permission_map
ViewSet,PaymentViewSet,payments_api/views.py,15,ALTA,Solo IsAuthenticated - pagos sin validación,Cajera puede procesar pagos,Agregar TenantPermissionByAction + permission_map
ViewSet,PayrollViewSet,employees_api/earnings_views.py,10,CRÍTICA,Validación ad-hoc _require_admin_role,Inconsistente con RBAC,Reemplazar con TenantPermissionByAction
ViewSet,SystemSettingsRetrieveUpdateView,settings_api/views.py,10,MEDIA,Solo IsAuthenticated - configuración global expuesta,Todos pueden ver configuración,Agregar TenantPermissionByAction + permission_map
ViewSet,BarbershopSettingsViewSet,settings_api/barbershop_views.py,15,MEDIA,Solo IsAuthenticated - configuración barbería expuesta,Todos pueden modificar configuración,Agregar TenantPermissionByAction + permission_map
APIView,AdminReportsView,reports_api/views.py,50,CRÍTICA,Solo IsAuthenticated - reportes admin sin protección,Cajera ve métricas administrativas,Agregar TenantPermissionByAction
APIView,EmployeeReportView,reports_api/views.py,120,CRÍTICA,Solo IsAuthenticated - nómina expuesta,Cajera ve salarios de empleados,Agregar TenantPermissionByAction
APIView,SalesReportView,reports_api/views.py,200,CRÍTICA,Solo IsAuthenticated - ventas detalladas expuestas,Cajera ve todas las ventas,Agregar TenantPermissionByAction
